名称
name
射干菖蒲
扬油9号
徽油杂1号
环丝藻
南疆苔草
兴化大米
丝叶紫堇
蚬木族
虫实族
东爪草亚科
白毛锻
光果茶藨子
毛叶陕西蔷薇
全缘石楠
兴仁女贞
总状序冷水花
帚枝鼠李
五叶双花委陵菜
独脚仙茅
河北国槐
禾秆薹草
湖北金粉蕨
大叶赤车
考福斯海金沙
老君鳞果星蕨
戟鳞孢叶
果番茄
条叶连蕊芥
大叶小雀花
大花万寿竹
髻籽羊齿科
广东牡丽草
纤细粉枝藻
充满耳壳藻
束缚色球藻
天山酸模
柔毛金腰
近中肋鳞毛蕨
冯氏鳞毛蕨
坚核桂樱
细点酸脚杆
滇缅崖豆藤
巴拉巴栗
农华101
科纽01072
矮生大萼委陵菜
金丰3号
美形金钮扣
日本环节藻
多肉观音莲
公仔椰子
亚洲大春
堪察加飞蓬
顶花杜茎山
多花泽兰
荣阳大将
开阳黄堇
黑媚人
黑合蹄盖蕨
亮叶青冈
亮毛鳞盖蕨
星毛糖芥
细齿锡金槭
牡丹草
大叶假鹰爪
柠檬香桃
阿拉善黄耆
湄公魔芋
紫花亚菊
桑橙树
孔蜾蠃
小果毛蕊茶
小叶山毛柳
雪里见原变种
台湾麒麟叶
藏北高原芥
山芹根
革叶淫羊藿
喇嘛蝇子草
绿独子藤
狼萁草
巴山铁线莲
大序雪胆
扭喙苔草
山檨子
豆腐树
多枝棘豆
珍珠罗汉松
油头草
非洲黑木原木
糖蜜草属
长喙兰属
海南毒鼠子
非洲鸡翅木
松尾绿菊
秃叶红豆
帚枝荆芥
白花黄芩
长梗棘豆
普通早熟禾
优越虎耳草
百千层
节毛乌蔹莓
尖叶藤黄
苦菜土
皮麦罗
细蒴苣苔
华油杂95
短序栝楼
绿叶木蓼
枝花隐子草
金粉背蕨
伏生石豆兰
藏西铁线莲
秃茎虎耳草
溪堇菜
小叶鹅耳枥
杰夫汉密尔顿
羽叶肉叶荠
版纳省藤
东北獐牙菜
果省藤
黑木蜈蚣藻
鱼鳔黄耆
狭刀豆
鸟头叶豇豆
海南镰扁豆
野雉尾
恒春石斑木
伊丽莎白甜瓜
京玉白流星甜瓜
长穗柳原变种
周至柳原变种
软毛黄杨原变种
水辣蓼
全叶马先蒿全叶亚种
红柿原变型
椭圆红柿
纽子果原变种
磨芋属
细柄柯
贵州桤叶树原变种
绒毛山茉莉原变种
泰国金钻蔓绿绒
粗壮冠唇花
还能虫草
日本扁枝越桔原变种
祗园之舞
天锦章属
金边榕
枸骨冬青王
洞洞蔓绿绒
球子蕨属
白根独活
海滨莎
海南短萼齿木
括耙草
落瓣短柱茶原变种
甘青赛莨菪
粗珊藻
长稃早熟禾
三角琉璃莲
兰屿粉藤
台湾黄花茅
短枝香草
毛利人考鲁
小体螺旋藻
芹叶牻牛儿苗
白苞芹原变种
丝须蒟蒻薯
小芒虎耳草原变种
长白米努草变种
光叶楼梯草原变种
刺桑
贡山波罗蜜
心籽绞股蓝
圆瓣冷水花系
茅膏菜变种
屏东铁线莲
爪哇甲壳苔
南黄堇组
指裂延胡索组
西南银莲花组
红斑翅蝗
展毛瓜叶乌头变种
美叶翠雀花
软毛翠雀花
无毛凤丫蕨变种
新疆忍冬原变种
糙轴蕨变种
毛聂拉木蹄盖蕨变种
瘦叶蹄盖蕨变种
蒿柳栅锈
高分枝桂花
库尔海蹄盖蕨变种
蕨类古裸子植物
毛叶蹄盖蕨组
柔毛委陵菜原变种
伪形高山紫菀
兰花类
冒都点地梅
兰考葡萄
冬青卫矛组
利种水杉
刺槐叉丝壳
北美刺龙葵
协优413
华山石头花
南方小锦藓
双蝴属
复序假卫矛
大花女娄菜
天桃木
小花假卫矛
宽叶珍珠茅
少叶水竹叶
延粳24
庆研黄瓜2号
弯毛臭黄荆
新陆早48号
柳叶担子大叶变种
桃源七星椒
梯状丽穗凤梨
毛叶崖爬藤
歧茎蒿系
泸水车前虾脊兰
滇西山莓草
球腺蔓
球兰组
短萼齿木
矮生酸樱
簇生假蹄盖蕨组
紫花重瓣玫瑰
红籽佛甲草
细拟合睫藓
羽裂垂头菊
耳蕨组
肉质冷水花
脐橙4号
艾系
芸香科花椒属
葡萄牙月桂
裂叶兔耳草
贺兰山黄耆
那伽毒蛇辣椒
黄金柳树
黄色旱金莲
鹤望兰花
凸轴剑蕨
澜沧卷柏亚种
高山粉背蕨变种
华北薄鳞蕨原变种
豆胶树
女贞原变型
中国柴胡
小杈叶槭变种
珍珠花原变种
裸蒴苔属
岩高兰原变种
枇杷叶紫珠原变种
中华禾叶繁缕
瓶兰
矮冬青组
枕果榕原变种
浙江尖连蕊茶变种
意大利蜡菊
十二星并脊天牛
蒙古沙棘亚种
